val_auc,val_accuracy,epoch,val_precision,step,val_f1,val_loss,train_accuracy,train_precision,train_auc,train_loss,train_f1
0.8543528318405151,0.7788000106811523,0,0.7738542556762695,467,0.7883658409118652,0.47440218925476074,,,,,
,,0,,467,,,0.7176816463470459,0.7151628136634827,0.7919954061508179,0.5659081339836121,0.7170770764350891
0.8774710893630981,0.7911999821662903,1,0.7620689868927002,935,0.8089311718940735,0.458827406167984,,,,,
,,1,,935,,,0.7887954115867615,0.7906473875045776,0.8709862232208252,0.45175617933273315,0.7871896624565125
0.8905996680259705,0.8044000267982483,2,0.8095238208770752,1403,0.8092079758644104,0.42052093148231506,,,,,
,,2,,1403,,,0.8060897588729858,0.8067814707756042,0.8920220136642456,0.41459140181541443,0.8050483465194702
0.8970285058021545,0.8083999752998352,3,0.8354218602180481,1871,0.8067769408226013,0.4086453914642334,,,,,
,,3,,1871,,,0.8189102411270142,0.8201913833618164,0.9032372832298279,0.3928864896297455,0.8177664279937744
0.9067721962928772,0.8216000199317932,4,0.7847411632537842,2339,0.8378182053565979,0.40288403630256653,,,,,
,,4,,2339,,,0.832398533821106,0.8324600458145142,0.9152998328208923,0.36965715885162354,0.8315662145614624
0.9109073877334595,0.8220000267028809,5,0.7940970063209534,2807,0.835489809513092,0.3937850892543793,,,,,
,,5,,2807,,,0.8438167572021484,0.8474484086036682,0.9247003793716431,0.34952861070632935,0.8422472476959229
0.9158309698104858,0.8295999765396118,6,0.8639456033706665,3275,0.8266883492469788,0.39389657974243164,,,,,
,,6,,3275,,,0.8524305820465088,0.8575122356414795,0.9309221506118774,0.335225909948349,0.850796639919281
0.9232219457626343,0.8343999981880188,7,0.8122302293777466,3743,0.845059871673584,0.36008766293525696,,,,,
,,7,,3743,,,0.85670405626297,0.8561854958534241,0.9355065822601318,0.324663370847702,0.8561854958534241
0.9159327745437622,0.8324000239372253,8,0.8557295799255371,4211,0.832064151763916,0.3784042298793793,,,,,
,,8,,4211,,,0.8687232732772827,0.8709503412246704,0.9438297152519226,0.30332401394844055,0.8677874803543091
0.91985023021698,0.8360000252723694,9,0.8303030133247375,4679,0.8424289226531982,0.37001773715019226,,,,,
,,9,,4679,,,0.8715277910232544,0.8726954460144043,0.9443097710609436,0.3024125099182129,0.8708204627037048
0.9098446369171143,0.8307999968528748,10,0.8316602110862732,5147,0.8358556628227234,0.40494754910469055,,,,,
,,10,,5147,,,0.8790732026100159,0.8812963962554932,0.9508301019668579,0.28453096747398376,0.8781538009643555
0.921113133430481,0.8379999995231628,11,0.8166065216064453,5615,0.848143994808197,0.35457009077072144,,,,,
,,11,,5615,,,0.8810763955116272,0.8809332251548767,0.9527797698974609,0.27848049998283386,0.8806380033493042
0.9240328073501587,0.8428000211715698,12,0.8558847308158875,6083,0.8447254300117493,0.36455217003822327,,,,,
,,12,,6083,,,0.8889556527137756,0.8899798393249512,0.9583388566970825,0.26179784536361694,0.8883667588233948
0.9250965118408203,0.8407999873161316,13,0.8564516305923462,6551,0.8421887159347534,0.35526078939437866,,,,,
,,13,,6551,,,0.8948317170143127,0.896231472492218,0.9626232385635376,0.24828694760799408,0.8942456245422363
0.9224240779876709,0.8452000021934509,14,0.856006383895874,7019,0.8475778102874756,0.37404876947402954,,,,,
,,14,,7019,,,0.8964343070983887,0.8990553021430969,0.9644801616668701,0.24175798892974854,0.8957310914993286
0.9183294773101807,0.8392000198364258,15,0.8249630928039551,7487,0.8474962115287781,0.37717512249946594,,,,,
,,15,,7487,,,0.9036458134651184,0.9033641815185547,0.9663589000701904,0.23528172075748444,0.9033036231994629
0.9140454530715942,0.8187999725341797,16,0.8023340702056885,7955,0.829249918460846,0.41212522983551025,,,,,
,,16,,7955,,,0.9061164259910583,0.9057261347770691,0.9695040583610535,0.22415204346179962,0.9057261347770691
0.9276924133300781,0.8479999899864197,17,0.8619582653045654,8423,0.8496835231781006,0.37987205386161804,,,,,
,,17,,8423,,,0.9164663553237915,0.9188351035118103,0.9738227725028992,0.20789441466331482,0.9159330725669861
0.9299015998840332,0.8396000266075134,18,0.8194343447685242,8891,0.8493047952651978,0.3714645206928253,,,,,
,,18,,8891,,,0.9158653616905212,0.9169131517410278,0.9746601581573486,0.20424793660640717,0.9154362678527832
0.9279521703720093,0.8492000102996826,19,0.8537920117378235,9359,0.8527919054031372,0.37968969345092773,,,,,
,,19,,9359,,,0.9237446784973145,0.9245765209197998,0.9790316820144653,0.18583154678344727,0.9233351349830627
0.92775559425354,0.8420000076293945,20,0.8632268905639648,9827,0.842189371585846,0.40204402804374695,,,,,
,,20,,9827,,,0.9244123697280884,0.9270762801170349,0.9788026809692383,0.1865970492362976,0.9238325953483582
0.9269341826438904,0.8435999751091003,21,0.8589847087860107,10295,0.8450257778167725,0.39443889260292053,,,,,
,,21,,10295,,,0.9338942170143127,0.9335476756095886,0.9829677939414978,0.16715095937252045,0.9336727857589722
